custody_id,participant_age_group,participant_gender,participant_status,participant_type,latitude,longitude,gun_stolen,gun_type,incident_id,date_fk
250648,Adult 18+,Male,Killed,Victim,37.6254,-83.6667,Irrelevant,Irrelevant,139027,1030
250649,Adult 18+,Male,Arrested,Victim,37.6254,-83.6667,Irrelevant,Irrelevant,139027,1030
250664,Adult 18+,Male,Unharmed,Victim,29.4302,-98.5688,Irrelevant,Irrelevant,139030,1030
250700,Adult 18+,Female,Injured,Victim,37.9602,-79.2447,Irrelevant,Irrelevant,139050,1030
250707,Adult 18+,Female,Unharmed,Victim,26.0153,-80.1216,Irrelevant,Irrelevant,139054,1030
250728,Adult 18+,Male,Injured,Victim,27.9896,-82.4511,Irrelevant,Irrelevant,139065,1030
250767,Adult 18+,Male,Killed,Victim,30.0241,-90.022,Irrelevant,Irrelevant,139090,1030
250768,Adult 18+,Male,Killed,Victim,30.0241,-90.022,Irrelevant,Irrelevant,139090,1030
250766,Adult 18+,Male,Injured,Victim,30.0241,-90.022,Irrelevant,Irrelevant,139090,1030
302722,Adult 18+,Female,Injured,Victim,30.0241,-90.022,Irrelevant,Irrelevant,169706,1209
302721,Adult 18+,Female,Killed,Victim,30.0241,-90.022,Irrelevant,Irrelevant,169706,1209
250788,Adult 18+,Male,Unharmed,Victim,39.3159,-83.3441,Irrelevant,Irrelevant,139102,1030
250789,Adult 18+,Female,Unharmed,Victim,39.3159,-83.3441,Irrelevant,Irrelevant,139102,1030
250825,Adult 18+,Male,Killed,Victim,29.4616,-98.3654,Irrelevant,Irrelevant,139123,1030
366808,Adult 18+,Male,Injured,Victim,29.4616,-98.3654,Irrelevant,Irrelevant,208931,1438
366809,Adult 18+,Male,Injured,Victim,29.4616,-98.3654,Irrelevant,Irrelevant,208931,1438
250828,Adult 18+,Male,Injured,Victim,40.3439,-76.451,Irrelevant,Irrelevant,139125,1030
250838,Adult 18+,Male,Killed,Victim,29.3918,-94.952,Irrelevant,Irrelevant,139129,1030
250839,Adult 18+,Female,Injured,Victim,34.1932,-82.4099,Irrelevant,Irrelevant,139130,1030
250866,Adult 18+,Male,Unharmed,Victim,38.1023,-84.4835,Irrelevant,Irrelevant,139147,1030
250870,Adult 18+,Male,Unharmed,Victim,44.1372,-84.8668,Irrelevant,Irrelevant,139150,1030
